Repozitory_name,total_lines,number_of_days_since_last_change,stars_count,count_of_contributors,forks_count,count_of_open_issues,count_of_closed_issue,count_of_merged_pull_requests,count_of_comment_lines,cyclomatic_complexity,count_of_commit_comment_lines,syntax_errors
AlexKolpa/fab-toolbar,2863,30,291,2,55,5,5,1,68,4.888888888888889,24,0
zhaozhentao/KugouLayout,114338,132,294,1,91,1,1,0,584,5.666666666666667,32,0
winterstein/Eclipse-Markdown-Editor-Plugin,8312,96,294,11,78,31,30,21,1020,11.75,76,0
laforge49/JActor,14713,37,298,3,76,1,30,1,154,1.6958333333333333,30,0
javayhu/wava,7833,3,295,1,37,2,1,0,131,1.095890410958904,6,0
jzachr/goldenorb,24271,22,292,1,29,5,2,0,306,3.9280575539568345,48,2
LittleFriendsGroup/KakaCache,3670,41,294,1,48,1,5,0,155,2.4516129032258065,30,0
zj-wukewei/Hot,21375,110,288,2,59,6,6,0,435,5.3545454545454545,33,0
rdrobinson3/VolleyImageCacheExample,8719,206,291,2,115,10,2,2,62,3.4545454545454546,15,0
hantsy/angularjs-springmvc-sample,4477,190,291,5,198,2,20,7,42,1.4146341463414633,44,0
bacy/titlebar,1966,108,291,3,113,2,11,2,97,6.0,35,0
Xieyupeng520/AZBarrage,15743,200,293,1,79,3,0,0,134,3.5,7,0
corerzhang/VerticalDrawerLayout,2864,98,296,1,42,4,3,0,82,9.0,3,0
amigold/FunDapter,14618,44,286,3,59,8,19,5,283,2.7333333333333334,41,0
KomoriWu/One,182447,49,288,2,90,4,2,2,914,3.58125,35,0
RaghavSood/AndroidCircularSeekBar,886,49,286,4,131,10,8,3,16,7.0,28,0
TinkerPatch/tinkerpatch-sdk,6470,64,294,2,55,61,30,0,191,5.368421052631579,30,0
boxme/ParallaxHeaderViewPager,3411,92,286,1,92,8,0,0,110,3.5789473684210527,16,0
ganhuo/Android-Ganhuo,2511,665,291,1,110,2,1,0,73,3.388888888888889,4,0
candrews/HttpResponseCache,14987,25,288,2,47,23,25,1,336,10.186666666666667,63,0
Jude95/Utils,1793,43,287,2,87,1,3,1,79,10.2,34,0
christmasjason/StickyHeaderView,9442,127,288,1,58,4,0,0,85,3.3333333333333335,7,0
mgrzechocinski/dagger2-example,1325,375,287,2,61,1,8,3,34,1.0,33,0
Hankkin/TaoBaoDetailDemo,4317,14,287,1,61,2,0,0,115,8.083333333333334,5,0
RemiKoutcherawy/OriSim3D-Android,7470,68,294,1,89,1,1,0,837,17.647058823529413,31,0
sonian/elasticsearch-jetty,6130,269,286,13,79,24,30,22,88,5.194444444444445,48,0
pengjianbo/LoadingViewFinal,29668,132,286,0,80,17,3,0,432,6.576576576576577,5,0
orhanobut/bee,4968,22,288,2,27,6,7,6,66,1.7777777777777777,43,0
waylife/InfiniteViewPager,61889,153,282,2,48,8,9,1,411,15.333333333333334,19,0
droidchef/uberprogressview,3560,21,285,3,56,0,5,3,89,2.5,36,0
nomanr/ZoomTextView,10376,65,289,1,59,4,0,0,115,1.0,7,0
vince-styling/Netroid,12011,168,286,1,126,15,13,6,429,5.262295081967213,82,0
dmytrodanylyk/realm-browser,3546,11,283,2,40,5,10,3,114,3.8125,40,0
xuyisheng/TextViewForFullHtml,13658,352,281,0,51,5,0,0,602,21.75,1,0
dmart28/reveno,19108,25,294,2,78,1,5,3,170,2.80184331797235,32,0
imshyam/mintube,5981,69,287,3,68,20,23,5,275,7.909090909090909,34,0
MindorksOpenSource/NYBus,8119,71,285,5,52,4,13,11,152,2.626865671641791,42,0
Jaouan/Carousel-Browsing-Example,37918,224,281,1,33,0,0,0,212,2.7142857142857144,3,0
LuoboDcom/ZZShow,45169,224,277,1,88,3,5,0,542,4.201219512195122,30,0
Janseon/CardMenuView,5827,248,282,1,61,1,0,0,233,6.066666666666666,15,0
johnlindquist/angularjs-plugin,6951,277,282,3,38,33,22,2,40,2.25,37,0
trikita/jedux,687,72,278,2,12,2,2,2,29,1.75,16,0
JoaquimLey/avenging,14449,71,278,5,74,6,27,19,211,3.642857142857143,198,0
agoncal/agoncal-book-javaee7,54404,19,281,5,238,18,17,12,4432,1.3456591639871383,52,0
nicolasjafelle/PagingGridView,2592,277,280,1,69,4,4,0,136,7.125,10,0
TangoAgency/android-data-binding-rxjava,1397,224,279,2,31,1,2,2,73,1.5,40,0
kot32go/KSimpleLibrary,0,0,0,0,0,0,0,0,0,0,0,0
tumblr/jumblr,5346,20,276,14,104,45,30,25,55,2.347826086956522,71,0
lzyzsd/AndroidRandomColor,1772,277,282,4,46,4,5,4,111,4.0,19,0
gonjay/rubychina4android,34522,226,276,4,130,9,21,12,321,4.683333333333334,34,0
perf4j/perf4j,18152,42,293,5,98,12,16,9,495,4.079646017699115,101,0
xvitcoder/spring-mvc-angularjs,28504,322,274,4,216,3,4,4,535,1.5625,32,0
OpenHFT/Java-Lang,40698,136,286,24,125,1,30,25,565,8.916030534351146,44,0
daimajia/little-bear-dictionary,138588,99,276,1,115,1,9,0,1971,19.024390243902438,30,0
arvinljw/ThumbUpSample,13857,26,286,2,38,10,4,2,108,7.0,30,0
tinkerpop/pipes,25316,102,277,9,58,2,18,8,100,3.2444444444444445,36,0
duzechao/DownloadManager,3191,107,276,3,77,2,7,2,121,5.4375,32,0
ryanhoo/fir.flight,33666,10,274,1,37,2,0,0,439,2.8292682926829267,34,0
ssk5460/DraggableFlipView,30567,300,273,2,31,0,2,2,182,4.166666666666667,17,0
hss01248/NotifyUtil,3791,65,281,1,54,3,2,0,155,3.125,10,0
pedrovgs/Nox,60167,306,274,1,44,6,2,0,226,2.8461538461538463,30,0
